France, Deformation / Velocity field horizontal 
  Long [deg],   Lat [deg],  Vel E [m/yr],  Vel N [m/yr] 
   5.5000000    47.2500000       0.00015      -0.00002 
   5.5000000    47.5000000       0.00007      -0.00005 
   5.5000000    47.7500000       0.00004      -0.00006 
   5.5000000    48.0000000       0.00002      -0.00007 
   5.7500000    42.0000000       0.00019      -0.00013 
   5.7500000    42.2500000       0.00021      -0.00016 
   5.7500000    42.5000000       0.00023      -0.00019 
   5.7500000    42.7500000       0.00024      -0.00021 
   5.7500000    43.0000000       0.00017       0.00004 
   5.7500000    43.2500000      -0.00006       0.00003 
   5.7500000    43.5000000      -0.00005       0.00001 
   5.7500000    43.7500000      -0.00004       0.00016 
   5.7500000    44.0000000      -0.00008       0.00001 
   5.7500000    44.2500000      -0.00006      -0.00002 
   5.7500000    44.5000000      -0.00015      -0.00005 
   5.7500000    44.7500000      -0.00019      -0.00005 
   5.7500000    45.0000000      -0.00030      -0.00003 
   5.7500000    45.2500000       0.00012       0.00001 
   5.7500000    45.5000000       0.00001      -0.00005 
   5.7500000    45.7500000      -0.00001       0.00001 
   5.7500000    46.0000000      -0.00004       0.00008 
   5.7500000    46.2500000      -0.00018       0.00015 
   5.7500000    46.5000000      -0.00018      -0.00001 
   5.7500000    46.7500000      -0.00005       0.00006 
   5.7500000    47.0000000       0.00017       0.00002 
   5.7500000    47.2500000       0.00006      -0.00002 
   5.7500000    47.5000000       0.00001      -0.00005 
   5.7500000    47.7500000      -0.00000      -0.00006 
   5.7500000    48.0000000      -0.00000      -0.00006 
   6.0000000    42.0000000       0.00023      -0.00018 
   6.0000000    42.2500000      -0.00005       0.00012 
   6.0000000    42.5000000      -0.00005       0.00011 
   6.0000000    42.7500000       0.00037       0.00005 
   6.0000000    43.0000000       0.00035       0.00004 
   6.0000000    43.2500000       0.00009       0.00002 
   6.0000000    43.5000000      -0.00007       0.00002 
   6.0000000    43.7500000      -0.00003       0.00003 
   6.0000000    44.0000000      -0.00016       0.00005 
   6.0000000    44.2500000      -0.00025      -0.00003 
   6.0000000    44.5000000      -0.00024      -0.00014 
   6.0000000    44.7500000      -0.00022      -0.00010 
   6.0000000    45.0000000      -0.00030      -0.00005 
   6.0000000    45.2500000      -0.00021      -0.00002 
   6.0000000    45.5000000      -0.00010      -0.00003 
   6.0000000    45.7500000      -0.00011       0.00005 
   6.0000000    46.0000000      -0.00011       0.00010 
   6.0000000    46.2500000      -0.00025      -0.00002 
   6.0000000    46.5000000      -0.00030      -0.00002 
   6.0000000    46.7500000      -0.00033       0.00003 
   6.0000000    47.0000000      -0.00023      -0.00003 
   6.0000000    47.2500000      -0.00013      -0.00003 
   6.0000000    47.5000000      -0.00008      -0.00004 
   6.0000000    47.7500000      -0.00005      -0.00004 
   6.0000000    48.0000000      -0.00003      -0.00005 
   6.2500000    42.0000000      -0.00003       0.00012 
   6.2500000    42.2500000      -0.00003       0.00012 
   6.2500000    42.5000000      -0.00002       0.00010 
   6.2500000    42.7500000       0.00001      -0.00031 
   6.2500000    43.0000000      -0.00003       0.00002 
   6.2500000    43.2500000       0.00008       0.00001 
   6.2500000    43.5000000      -0.00006       0.00013 
   6.2500000    43.7500000      -0.00001       0.00006 
   6.2500000    44.0000000      -0.00017       0.00009 
   6.2500000    44.2500000      -0.00005      -0.00004 
   6.2500000    44.5000000      -0.00019      -0.00013 
   6.2500000    44.7500000      -0.00008      -0.00009 
   6.2500000    45.0000000      -0.00015      -0.00003 
   6.2500000    45.2500000      -0.00043       0.00004 
   6.2500000    45.5000000      -0.00036      -0.00004 
   6.2500000    45.7500000      -0.00017      -0.00003 
   6.2500000    46.0000000      -0.00019       0.00011 
   6.2500000    46.2500000      -0.00032       0.00003 
   6.2500000    46.5000000      -0.00025      -0.00003 
   6.2500000    46.7500000      -0.00060      -0.00001 
   6.2500000    47.0000000      -0.00059      -0.00007 
   6.2500000    47.2500000      -0.00031      -0.00005 
   6.2500000    47.5000000      -0.00017      -0.00004 
   6.2500000    47.7500000      -0.00010      -0.00004 
   6.2500000    48.0000000      -0.00006      -0.00004 
   6.5000000    42.0000000       0.00028       0.00009 
   6.5000000    42.2500000       0.00030       0.00009 
   6.5000000    42.5000000       0.00033       0.00008 
   6.5000000    42.7500000      -0.00004      -0.00022 
   6.5000000    43.0000000      -0.00003       0.00003 
   6.5000000    43.2500000      -0.00005       0.00001 
   6.5000000    43.5000000      -0.00008       0.00018 
   6.5000000    43.7500000      -0.00012       0.00016 
   6.5000000    44.0000000      -0.00010       0.00003 
   6.5000000    44.2500000      -0.00001      -0.00005 
   6.5000000    44.5000000      -0.00007      -0.00008 
   6.5000000    44.7500000       0.00008      -0.00012 
   6.5000000    45.0000000       0.00009      -0.00021 
   6.5000000    45.2500000      -0.00037      -0.00008 
   6.5000000    45.5000000      -0.00039      -0.00019 
   6.5000000    45.7500000      -0.00040      -0.00024 
   6.5000000    46.0000000      -0.00026       0.00008 
   6.5000000    46.2500000      -0.00037       0.00016 
   6.5000000    46.5000000      -0.00046      -0.00003 
   6.5000000    46.7500000      -0.00064      -0.00001 
   6.5000000    47.0000000      -0.00064      -0.00006 
   6.5000000    47.2500000      -0.00038      -0.00003 
   6.5000000    47.5000000      -0.00021      -0.00003 
   6.5000000    47.7500000      -0.00013      -0.00002 
   6.5000000    48.0000000      -0.00008      -0.00003 
   6.7500000    42.0000000       0.00027      -0.00019 
   6.7500000    42.2500000      -0.00001       0.00001 
   6.7500000    42.5000000      -0.00001       0.00001 
   6.7500000    42.7500000      -0.00003       0.00005 
   6.7500000    43.0000000      -0.00003       0.00006 
   6.7500000    43.2500000      -0.00008       0.00017 
   6.7500000    43.5000000       0.00000       0.00000 
   6.7500000    43.7500000       0.00001       0.00002 
   6.7500000    44.0000000       0.00002       0.00001 
   6.7500000    44.2500000       0.00009      -0.00008 
   6.7500000    44.5000000       0.00002      -0.00010 
   6.7500000    44.7500000       0.00008      -0.00031 
   6.7500000    45.0000000       0.00024      -0.00056 
   6.7500000    45.2500000      -0.00009      -0.00032 
   6.7500000    45.5000000      -0.00031      -0.00037 
   6.7500000    45.7500000      -0.00045      -0.00036 
   6.7500000    46.0000000      -0.00027      -0.00008 
   6.7500000    46.2500000      -0.00039       0.00003 
   6.7500000    46.5000000      -0.00043       0.00006 
   6.7500000    46.7500000      -0.00051       0.00003 
   6.7500000    47.0000000      -0.00048      -0.00002 
   6.7500000    47.2500000      -0.00034       0.00000 
   6.7500000    47.5000000      -0.00023       0.00000 
   6.7500000    47.7500000      -0.00013      -0.00001 
   6.7500000    48.0000000      -0.00009      -0.00001 
   7.0000000    42.0000000      -0.00001       0.00001 
   7.0000000    42.2500000      -0.00001       0.00001 
   7.0000000    42.5000000      -0.00002       0.00002 
   7.0000000    42.7500000       0.00015       0.00005 
   7.0000000    43.0000000      -0.00002       0.00006 
   7.0000000    43.2500000       0.00000       0.00013 
