Deformation / Velocity field horizontal 
  Long [deg],   Lat [deg],  Vel E [m/yr],  Vel N [m/yr] 
  15.0000000    46.0000000      -0.00004       0.00186 
  15.0000000    47.0000000       0.00056       0.00076 
  15.0000000    48.0000000       0.00007       0.00018 
  15.0000000    49.0000000       0.00008      -0.00008 
  15.0000000    50.0000000      -0.00017      -0.00018 
  15.0000000    51.0000000      -0.00023      -0.00026 
  15.0000000    52.0000000      -0.00025      -0.00024 
  15.0000000    53.0000000      -0.00024      -0.00018 
  16.0000000    42.0000000       0.00053       0.00294 
  16.0000000    43.0000000       0.00036       0.00304 
  16.0000000    44.0000000       0.00017       0.00293 
  16.0000000    45.0000000       0.00012       0.00235 
  16.0000000    46.0000000       0.00019       0.00142 
  16.0000000    47.0000000       0.00050       0.00046 
  16.0000000    48.0000000       0.00015       0.00008 
  16.0000000    49.0000000       0.00007      -0.00013 
  16.0000000    50.0000000      -0.00005      -0.00025 
  16.0000000    51.0000000      -0.00021      -0.00018 
  16.0000000    52.0000000      -0.00023      -0.00023 
  16.0000000    53.0000000      -0.00023      -0.00018 
  17.0000000    42.0000000       0.00034       0.00289 
  17.0000000    43.0000000       0.00043       0.00289 
  17.0000000    44.0000000       0.00029       0.00251 
  17.0000000    45.0000000       0.00022       0.00197 
  17.0000000    46.0000000       0.00040       0.00129 
  17.0000000    47.0000000       0.00054       0.00032 
  17.0000000    48.0000000       0.00049      -0.00012 
  17.0000000    49.0000000       0.00023      -0.00022 
  17.0000000    50.0000000       0.00003      -0.00027 
  17.0000000    51.0000000      -0.00005      -0.00017 
  17.0000000    52.0000000      -0.00023      -0.00015 
  17.0000000    53.0000000      -0.00022      -0.00018 
  18.0000000    42.0000000       0.00049       0.00281 
  18.0000000    43.0000000       0.00042       0.00263 
  18.0000000    44.0000000       0.00039       0.00213 
  18.0000000    45.0000000       0.00028       0.00170 
  18.0000000    46.0000000       0.00045       0.00115 
  18.0000000    47.0000000       0.00050       0.00029 
  18.0000000    48.0000000       0.00051      -0.00009 
  18.0000000    49.0000000       0.00036      -0.00012 
  18.0000000    50.0000000       0.00012      -0.00029 
  18.0000000    51.0000000       0.00003      -0.00026 
  18.0000000    52.0000000      -0.00006      -0.00017 
  18.0000000    53.0000000      -0.00022      -0.00014 
