# Normal Strain Field, 
# Long [deg],   Lat [deg],   Eps1,          Eps2,         AziEps2 [deg] 
  -2.6250000    49.6250000  -4.556725e-11  -2.549326e-09     144.25 
  -2.6250000    49.8750000  +2.765719e-10  -2.069467e-09     134.11 
  -2.6250000    50.1250000  +4.412963e-10  -1.598140e-09     135.53 
  -2.6250000    50.3750000  +4.464463e-10  -1.241363e-09     134.43 
  -2.6250000    50.6250000  +4.339722e-10  -1.000021e-09     134.18 
  -2.6250000    50.8750000  +4.208660e-10  -8.353912e-10     134.30 
  -2.6250000    51.1250000  +4.093700e-10  -7.186363e-10     134.48 
  -2.6250000    51.3750000  +3.986069e-10  -6.322266e-10     134.58 
  -2.6250000    51.6250000  +3.876008e-10  -5.657637e-10     134.55 
  -2.6250000    51.8750000  +3.758329e-10  -5.129575e-10     134.38 
  -2.6250000    52.1250000  +3.631793e-10  -4.698772e-10     134.08 
  -2.6250000    52.3750000  +3.497535e-10  -4.339711e-10     133.68 
  -2.6250000    52.6250000  +6.685536e-09  -2.866670e-09      68.07 
  -2.6250000    52.8750000  +5.363051e-10  -2.174381e-10     114.60 
  -2.3750000    42.1250000  +4.589175e-10  -2.708295e-10      91.54 
  -2.3750000    42.3750000  +7.841668e-10  -3.304517e-10      84.24 
  -2.3750000    42.6250000  +3.610003e-10  -5.426123e-10      97.27 
  -2.3750000    42.8750000  +3.229509e-10  -4.262120e-10      74.26 
  -2.3750000    43.1250000  +2.865211e-10  -4.759017e-10      68.29 
  -2.3750000    43.3750000  +1.635687e-09  -5.943900e-10      70.58 
  -2.3750000    43.6250000  +1.011456e-10  -5.264392e-10      61.05 
  -2.3750000    43.8750000  +2.097154e-09  -7.072120e-09     149.21 
  -2.3750000    44.1250000  +1.201244e-08  -1.680453e-09      15.97 
  -2.3750000    44.3750000  +1.292200e-09  -4.995254e-10      27.61 
  -2.3750000    44.6250000  +1.497437e-09  -2.853395e-09      19.39 
  -2.3750000    44.8750000  +2.100470e-09  -3.381088e-10      39.28 
