Long [deg],  Lat[deg],    Ve[m/yr],  Vn[m/yr],  SVe[m/yr], SVn[m/yr], angle[deg],    Name
-2.0000000  47.0000000   -0.00013   0.00008     0.000082    0.000065    0.0 
-2.0000000  47.5000000   -0.00008   0.00013     0.000084    0.000067    0.0 
-2.0000000  48.0000000    0.00000   0.00019     0.000085    0.000067    0.0 
-2.0000000  48.5000000    0.00006   0.00018     0.000084    0.000067    0.0 
-2.0000000  49.0000000    0.00009   0.00012     0.000067    0.000062    0.0 
-2.0000000  49.5000000    0.00008   0.00001     0.000052    0.000050    0.0 
-2.0000000  50.0000000    0.00010   0.00000     0.000056    0.000038    0.0 
-2.0000000  50.5000000    0.00012   0.00002     0.000075    0.000083    0.0 
-2.0000000  51.0000000    0.00014   0.00003     0.000086    0.000096    0.0 
-2.0000000  51.5000000    0.00014   0.00013     0.000112    0.000075    0.0 
-2.0000000  52.0000000    0.00014   0.00016     0.000122    0.000086    0.0 
-2.0000000  52.5000000    0.00018   0.00005     0.000047    0.000043    0.0 
-2.0000000  53.0000000    0.00018   0.00006     0.000048    0.000043    0.0 
-1.5000000  41.0000000   -0.00021   0.00008     0.000195    0.000207    0.0 
-1.5000000  41.5000000   -0.00024   0.00011     0.000187    0.000200    0.0 
-1.5000000  42.0000000   -0.00025   0.00014     0.000178    0.000197    0.0 
-1.5000000  42.5000000   -0.00027   0.00017     0.000171    0.000191    0.0 
-1.5000000  43.0000000   -0.00025   0.00026     0.000110    0.000116    0.0 
-1.5000000  43.5000000   -0.00019   0.00029     0.000145    0.000105    0.0 
-1.5000000  44.0000000   -0.00016   0.00029     0.000129    0.000094    0.0 
-1.5000000  44.5000000   -0.00015   0.00028     0.000067    0.000051    0.0 
-1.5000000  45.0000000   -0.00018   0.00015     0.000069    0.000018    0.0 
-1.5000000  45.5000000   -0.00011   0.00015     0.000065    0.000018    0.0 
-1.5000000  46.0000000   -0.00005   0.00017     0.000050    0.000037    0.0 
-1.5000000  46.5000000   -0.00004   0.00015     0.000069    0.000057    0.0 
-1.5000000  47.0000000   -0.00005   0.00012     0.000082    0.000065    0.0 
-1.5000000  47.5000000   -0.00003   0.00012     0.000088    0.000069    0.0 
-1.5000000  48.0000000    0.00003   0.00013     0.000089    0.000070    0.0 
-1.5000000  48.5000000    0.00007   0.00010     0.000087    0.000068    0.0 
-1.5000000  49.0000000    0.00010   0.00004     0.000068    0.000063    0.0 
-1.5000000  49.5000000    0.00009  -0.00006     0.000049    0.000040    0.0 
-1.5000000  50.0000000    0.00011  -0.00006     0.000061    0.000066    0.0 
