Long, [deg]     Lat, [deg]   velE,[mm/yr]  velN,[mm/yr]   Marker
3.268258         43.919804     0.0000      0.000050      SLVT 
9.850253         46.170034     0.0000      0.000847      SOND 
7.054099         43.611428     0.0000     -0.000405      SOPH 
2.434971         42.727549     0.0000     -0.000320      SOUR 
16.583055        47.683647     0.0000      0.000701      SPRN 
5.761779         45.235219     0.0000      0.000681      STEY 
4.573845         44.185335     0.0000     -0.000490      STGR 
7.683817         48.621662     0.0000     -0.000641      STJ9 
4.421633         43.449147     0.0000     -0.002107      STMR 
12.208518        45.857011     0.0000      0.001620      SUSE 
4.287464         45.124570     0.0000     -0.000728      TENC 
1.480890         43.560695     0.0000     -0.000162      TLSE 
7.661281         45.063368     0.0000      0.001282      TORI 
5.902154         45.677684     0.0000      0.000527      TRES 
15.858910        47.927964     0.0000     -0.000990      TRF2 
15.858910        47.927964     0.0000     -0.000402      TRFB 
13.763520        45.709757     0.0000      0.000244      TRIE 
5.075139         46.725588     0.0000     -0.000674      TROC 
6.601010         43.219484     0.0000     -0.001185      TROP 
13.253019        46.037479     0.0000      0.000431      UDI1 
13.253019        46.037160     0.0000      0.000991      UDIN 
12.355703        43.119391     0.0000      0.001083      UNPG 
6.723683         43.797465     0.0000      0.000489      VALD 
12.565343        46.457089     0.0000      0.003279      VARM 
5.826555         47.659570     0.0000     -0.001617      VAUC 
12.354078        45.430570     0.0000     -0.001044      VEN1 
12.331984        45.436982     0.0000     -0.001669      VENE 
1.719674         47.294195     0.0000     -0.001563      VFCH 
6.291576         49.203945     0.0000     -0.000556      VIGY 
13.850453        46.607030     0.0000      0.000820      VLCH 
14.626065        46.661410     0.0000      0.000384      VLKM 
12.807533        47.651198     0.0000      0.000429      WART 
14.020736        48.158343     0.0000      0.001741      WELS 
16.373082        48.218857     0.0000     -0.000514      WIEN 
7.351298         48.415171     0.0000     -0.003290      WLBH 
12.876497        49.145120     0.0000      0.001775      WT21 
12.878909        49.144199     0.0000     -0.000817      WTZR 
15.227589        44.113176     0.0000      0.000937      ZADA 
7.465030         46.877094     0.0000      0.004996      ZIM2 
7.465276         46.877098     0.0000      0.000721      ZIMM 
12.973552        46.557220     0.0000      0.001501      ZOUF 
