Site       Longitude         Latitude         Height            Ve_res  SVe      Vn_res  SVn      Vu     Svu      Start    End    Tobs  
	      deg               deg             m                  mm/yr            mm/yr             mm/yr      yyyy.y   yyyy.y  years		
SETE       3.6991176        43.3976493         54.95206         0.24 ± 0.11      0.11 ± 0.13     -0.31 ± 0.44    2007.8 - 2016.4   8.6 
SIMA       5.4164950        46.2247145        366.97458        -0.04 ± 0.10     -0.27 ± 0.11     -0.12 ± 0.39    2008.9 - 2015.0   6.1 
SJDV       4.6765767        45.8790852        432.41664        -0.01 ± 0.05      0.10 ± 0.05     -0.07 ± 0.17    2004.0 - 2016.4  12.4 
SLVT       3.2682596        43.9198043        811.82501         0.01 ± 0.09      0.14 ± 0.11      0.14 ± 0.37    2007.7 - 2014.8   7.1 
SOND       9.8502544        46.1700344        529.18768         0.17 ± 0.13     -0.24 ± 0.16      1.22 ± 0.60    2006.6 - 2012.9   6.4 
SOPH       7.0541003        43.6114285        178.83234         0.00 ± 0.05      0.16 ± 0.06      0.07 ± 0.20    2004.0 - 2016.4  12.4 
SOUR       2.4349720        42.7275495        595.62645         0.30 ± 0.14     -0.51 ± 0.16      0.05 ± 0.58    2009.4 - 2015.0   5.6 
SPRN      16.5830568        47.6836477        278.87324         0.63 ± 0.09     -0.12 ± 0.11      0.47 ± 0.34    2007.6 - 2016.4   8.8 
STEY       5.7617809        45.2352196       1394.89412        -0.42 ± 0.04      0.06 ± 0.05      1.22 ± 0.14    2004.0 - 2016.4  12.4 
STGR       4.5738468        44.1853354        136.92312         0.14 ± 0.07     -0.10 ± 0.07     -0.39 ± 0.25    2007.5 - 2015.0   7.5 
STJ9       7.6838191        48.6216626        237.16409         0.00 ± 0.04      0.12 ± 0.05     -0.41 ± 0.16    2004.0 - 2016.4  12.4 
STMR       4.4216344        43.4491472         56.09364        -0.31 ± 0.10     -0.05 ± 0.12     -1.85 ± 0.38    2008.3 - 2016.4   8.1 
SUSE      12.2085197        45.8570112        221.73519         0.10 ± 0.14      1.33 ± 0.16     -0.65 ± 0.56    2011.4 - 2016.4   5.0 
TENC       4.2874656        45.1245710        936.46067         0.16 ± 0.11     -0.00 ± 0.14      0.31 ± 0.46    2004.5 - 2014.5  10.0 
TLSE       1.4808916        43.5606955        207.19160         0.22 ± 0.14     -0.10 ± 0.17      0.31 ± 0.59    2004.0 - 2009.5   5.5 
TORI       7.6612826        45.0633683        310.74787         0.12 ± 0.16     -0.13 ± 0.18      0.65 ± 0.67    2004.8 - 2016.4   7.4 
TRES       5.9021552        45.6776851        375.56675        -0.18 ± 0.08     -0.22 ± 0.09      0.96 ± 0.31    2007.6 - 2015.0   7.4 
